anio_matricula;modulo_matricula;no identificacion;Sexo;Sede;nivel;vertical;clases_matriculadas;anio_ingreso;modulo_ingreso;primera_matricula;ultima_matricula;tipo_ingreso_1
2019;2;1;FEMENINO;Tegucigalpa;Other - Non Degree;Other;3;2018;4;2018m4;2019m1;REINGRESO
2019;2;2;FEMENINO;Tegucigalpa;Other - Non Degree;Other;3;2018;4;2018m4;2019m1;REINGRESO
2019;2;3;FEMENINO;Tegucigalpa;Other - Non Degree;Other;3;2018;4;2018m4;2019m1;REINGRESO
2019;2;4;FEMENINO;Tegucigalpa;Other - Non Degree;Other;3;2018;4;2018m4;2019m1;REINGRESO
2019;2;5;FEMENINO;Tegucigalpa;Other - Non Degree;Other;3;2018;4;2018m4;2019m1;REINGRESO
2019;2;6;FEMENINO;Tegucigalpa;Other - Non Degree;Other;3;2018;4;2018m4;2019m1;REINGRESO
2019;2;7;FEMENINO;Tegucigalpa;Other - Non Degree;Other;3;2018;4;2018m4;2019m1;REINGRESO
2019;2;8;FEMENINO;Tegucigalpa;Other - Non Degree;Other;3;2018;2;2018m2;2019m1;REINGRESO
2019;2;9;FEMENINO;Tegucigalpa;Other - Non Degree;Other;3;2018;4;2018m4;2019m1;REINGRESO
2019;2;10;FEMENINO;Tegucigalpa;Other - Non Degree;Other;3;2018;4;2018m4;2019m1;REINGRESO
2019;2;11;FEMENINO;Tegucigalpa;Other - Non Degree;Other;3;2018;4;2018m4;2019m1;REINGRESO
2019;2;12;FEMENINO;Tegucigalpa;Other - Non Degree;Other;3;2018;5;2018m5;2019m1;REINGRESO
2019;2;13;MASCULINO;Tegucigalpa;Other - Non Degree;Other;3;2018;5;2018m5;2019m1;REINGRESO
2019;2;14;FEMENINO;Tegucigalpa;Other - Non Degree;Other;3;2018;5;2018m5;2019m1;REINGRESO
2019;2;15;MASCULINO;Tegucigalpa;Other - Non Degree;Other;3;2018;5;2018m5;2019m1;REINGRESO
2019;2;16;FEMENINO;Tegucigalpa;Other - Non Degree;Other;3;2018;5;2018m5;2019m1;REINGRESO
2019;2;17;FEMENINO;Tegucigalpa;Other - Non Degree;Other;3;2018;5;2018m5;2019m1;REINGRESO
2019;2;18;FEMENINO;Tegucigalpa;Other - Non Degree;Other;3;2018;5;2018m5;2019m1;REINGRESO
2019;2;19;MASCULINO;Tegucigalpa;Other - Non Degree;Other;3;2018;5;2018m5;2019m1;REINGRESO
2019;2;20;FEMENINO;Tegucigalpa;Other - Non Degree;Other;5;2016;4;2016m4;2019m1;REINGRESO
2019;2;21;FEMENINO;Tegucigalpa;Other - Non Degree;Other;1;2018;2;2018m2;2018m5;REINGRESO
2019;2;22;FEMENINO;Tegucigalpa;Other - Non Degree;Other;3;2018;5;2018m5;2019m1;REINGRESO
