Cuenta;Demanda de clase;Razón no1;Razones que determinan cuantas clases matrículan (no.1);Razón no2;Razones que determinan cuantas clases matrículan (no.2);Razón no3;Razones que determinan cuantas clases matrículan (no.3);Hora 7-9am;Hora 9-11am;Hora 11-1pm;Hora 1-3pm;Hora 3-5pmu;Hora 5-7pm;Hora 7-9pm;Egreso diversificado;¿estudios universitarios?;Universidad matrículado;Univeresidad matrículado otro;Educación Superior;Trabajo;Definir horario;Estado civil:;Sexo:;Cuenta;Campus original;Campus original;campus actual;Marca;CódigoCarrera;NombreCarrera;FACULTAD;CARRERA AGRUPADORA;PeriodoDeIngreso;PeriodoDeIngreso;ClasesAprobadas;ClasesReprobadas;Reprobó;Rango reporbación;ClasesRetiradas;Dscto_Q1 2017;DsctoCole_Q1 2017;DsctoMat_Q1 2017;Período de Ingreso;Q1 2019;Curso mat_promedio;Curso mat_er Q
41821043;Regular;Razón1;Capacidad de pago;Razón2;La carga laboral que tiene ese periodo;Razón3;Compromisos personales;No;No;No;No;No;Sí;Sí;2017;No;;;;Sí;Vespertino (12:00m-6:00pm);Soltero;Femenino;41821043;4;CEUTEC - LCE;CEUTEC - LCE;CEUTEC;L14A;PSICOLOGÍA (ÉNFASIS: ÁREA CLÍNICA);FCAS;Psicología;2018-M2;Q2 2018;5;1;1;si;0;No;No;No;2;1;Bajo;Bajo
31841083;Alto;Razón1;La demanda académica es demasiado alta para el tiempo que tiene disponible para estudiar;Razón2;Disponibilidad de clases en horarios a su conveniencia;Razón3;;Sí;Sí;No;No;No;No;No;2007;Sí;Universidad Nacional Autónoma de Honduras UNAH y centros regionales;;Esta es la primera carrera de educación superior que está sacanda;Sí;Nocturno (6:00pm-6:00am);Casado;Masculino;31841083;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;I-9 ;INGENIERIA EN GESTIÓN LOGÍSTICA;FIA;Gestión Logística;2018-M4;Q3 2018;13;0;0;no;0;No;No;No;2;2;#N/A;Igual
61811184;Regular;Razón1;Compromisos personales;Razón2;Capacidad de pago;Razón3;Disponibilidad de clases en horarios a su conveniencia;No;Sí;No;No;No;No;No;;No;;;;Sí;Vespertino (12:00m-6:00pm);Casado;Femenino;61811184;6;CEUTEC - SPS;CEUTEC - SPS;CEUTEC;L10A;LICENCIATURA EN DERECHO (EMPRESARIAL);FCAS;Derecho;2018-M1;Q1 2018;5;0;0;no;0;SI;SI;No;4;2;Bajo;Bajo
61821414;Muy alto;Razón1;La demanda académica es demasiado alta para el tiempo que tiene disponible para estudiar;Razón2;Capacidad de pago;Razón3;La carga laboral que tiene ese periodo;Sí;Sí;No;Sí;Sí;No;No;2017;No;;;;Sí;Matutino (6:00am- 12:00m);Soltero;Masculino;61821414;6;CEUTEC - SPS;CEUTEC - SPS;CEUTEC;I-6 ;INGENIERÍA EN INFORMÁTICA;FIA;Informática;2018-M2;Q2 2018;6;0;0;no;0;No;No;No;2;1;Bajo;Bajo
31841372;Muy alto;Razón1;Capacidad de pago;Razón2;Disponibilidad de clases en horarios a su conveniencia;Razón3;Compromisos personales;Sí;Sí;No;No;No;No;No;2016;Sí;Universidad Católica de Honduras UNICAH;;Esta es la primera carrera de educación superior que está sacanda;No;Matutino (6:00am- 12:00m);Soltero;Femenino;31841372;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;L10A;LICENCIATURA EN DERECHO (EMPRESARIAL);FCAS;Derecho;2018-M4;Q3 2018;3;0;0;no;0;No;No;No;2;1;Bajo;Bajo
31851049;Regular;Razón1;Capacidad de pago;Razón2;Disponibilidad de clases en horarios a su conveniencia;Razón3;La carga laboral que tiene ese periodo;No;Sí;Sí;No;No;No;No;2018;Sí;Universidad Nacional Autónoma de Honduras UNAH y centros regionales;;Esta es la primera carrera de educación superior que está sacanda;Sí;Vespertino (12:00m-6:00pm);Soltero;Masculino;31851049;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;I-9 ;INGENIERIA EN GESTIÓN LOGÍSTICA;FIA;Gestión Logística;2018-M5;Q4 2018;11;0;0;no;0;No;No;No;3;3;#N/A;Igual
31711053;Regular;Razón1;Disponibilidad de clases en horarios a su conveniencia;Razón2;;Razón3;;No;No;No;No;No;Sí;No;2016;Sí;Universidad Nacional Autónoma de Honduras UNAH y centros regionales;;Esta es la primera carrera de educación superior que está sacanda;Sí;Vespertino (12:00m-6:00pm);Soltero;Masculino;31711053;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;I-6 ;INGENIERÍA EN INFORMÁTICA;FIA;Informática;2017-M1;Q1 2017;22;3;2 a 3;si;1;No;No;No;3;4;#N/A;Subio
31841156;Alto;Razón1;La demanda académica es demasiado alta para el tiempo que tiene disponible para estudiar;Razón2;Disponibilidad de clases en horarios a su conveniencia;Razón3;Capacidad de pago;No;Sí;No;No;No;No;No;2011;Sí;Universidad Nacional Autónoma de Honduras UNAH y centros regionales;;Ya tiene otro título de educación superior;Sí;Matutino (6:00am- 12:00m);Soltero;Femenino;31841156;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;L-12;LICENCIATURA EN DISEÑO GRÁFICO;FCAS;Diseño Gráfico;2018-M4;Q3 2018;4;0;0;no;0;No;No;No;4;3;Igual;Bajo
61811052;Alto;Razón1;Capacidad de pago;Razón2;;Razón3;;No;Sí;Sí;No;No;No;No;2016;No;;;;Sí;Nocturno (6:00pm-6:00am);Soltero;Femenino;61811052;6;CEUTEC - SPS;CEUTEC - SPS;CEUTEC;L10B;LICENCIATURA EN DERECHO (COMERCIAL INTERNACIONAL);FCAS;Derecho;2018-M1;Q1 2018;6;1;1;si;1;No;No;No;4;2;Bajo;Bajo
31851062;Alto;Razón1;Capacidad de pago;Razón2;Disponibilidad de clases en horarios a su conveniencia;Razón3;La carga laboral que tiene ese periodo;No;Sí;No;No;No;No;No;2018;No;;;;No;Diurno (6:00am- 6:00pm);Soltero;Femenino;31851062;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;I-9 ;INGENIERIA EN GESTIÓN LOGÍSTICA;FIA;Gestión Logística;2018-M5;Q4 2018;3;0;0;no;1;No;No;No;4;3;Bajo;Bajo
